,Timestep,Neural,Maximum,Greedy,Lazy,e-Neural,greedy
712,713.0,647.603231,51.57216368,51.52919651,648.3988936,71.53698099,
713,714.0,648.525063,51.56665636,51.51357432,649.3219856,71.535056,
714,715.0,649.4468951,51.56117855,51.50920932,650.2450777,71.58095662,
715,716.0,650.3687273,51.57992647,51.5300924,651.1681699,71.56365295,
716,717.0,651.2905597,51.57426861,51.52391419,652.0912622,71.54542344,
717,718.0,652.2123922,51.56223031,51.52961234,653.0143547,71.54691299,
718,719.0,653.1342248,51.60598347,51.52514891,653.9374473,71.57167915,
719,720.0,654.0560576,51.60224247,51.52367279,654.86054,71.56910434,
720,721.0,654.9778904,51.65527618,51.52421781,655.7836329,71.59265421,
721,722.0,655.8997234,51.66131659,51.51442864,656.7067259,71.57394274,
722,723.0,656.8215565,51.65713419,51.51947349,657.6298189,71.56012794,
723,724.0,657.7433897,51.65770055,51.52343862,658.5529122,71.54777798,
724,725.0,658.6652231,51.64571525,51.51769336,659.4760055,71.53553361,
725,726.0,659.5870566,51.62680281,51.53876166,660.399099,71.60307346,
726,727.0,660.5088902,51.64376223,51.54985867,661.3221925,71.57819439,
727,728.0,661.4307239,51.67199514,51.66702793,662.2452862,71.68798329,
728,729.0,662.3525577,51.65779759,51.67337722,663.1683801,71.68713298,
729,730.0,663.2743917,51.67522301,51.67730627,664.091474,71.75068904,
730,731.0,664.1962257,51.66581699,51.68730726,665.014568,71.76632856,
731,732.0,665.1180599,51.66821591,51.68465532,665.9376622,71.75720576,
732,733.0,666.0398942,51.66612627,51.66897785,666.8607565,71.77439563,
733,734.0,666.9617287,51.65229738,51.67809847,667.7838509,71.76024971,
734,735.0,667.8835632,51.64444742,51.68058818,668.7069454,71.74654789,
735,736.0,668.8053979,51.64600027,51.6752245,669.6300401,71.71596187,
736,737.0,669.7272327,51.63491054,51.73520672,670.5531348,71.75510114,
737,738.0,670.6490675,51.66734594,51.73518743,671.4762297,71.74381424,
738,739.0,671.5709026,51.65289263,51.72731637,672.3993247,71.73045748,
739,740.0,672.4927377,51.65757802,51.7127886,673.3224198,71.71624888,
740,741.0,673.4145729,51.65816642,51.7041524,674.245515,71.70201268,
741,742.0,674.3364083,51.65161799,51.7014998,675.1686103,71.67806577,
742,743.0,675.2582437,51.64288897,51.71071908,676.0917058,71.66093153,
743,744.0,676.1800793,51.64245382,51.70226432,677.0148013,71.64505178,
744,745.0,677.101915,51.65650342,51.72668812,677.937897,71.65181446,
745,746.0,678.0237508,51.6619221,51.71354485,678.8609928,71.67359007,
746,747.0,678.9455867,51.67360924,51.72142262,679.7840887,71.71399888,
747,748.0,679.8674227,51.67747689,51.76411385,680.7071846,71.70425674,
748,749.0,680.7892588,51.76914944,51.75574284,681.6302808,71.71255165,
749,750.0,681.7110951,51.76606988,51.74217906,682.553377,71.82175236,
750,751.0,682.6329314,51.77526386,51.76889648,683.4764733,71.90634891,
751,752.0,683.5547679,51.7774747,51.76399028,684.3995697,71.8916973,
752,753.0,684.4766045,51.76690596,51.79534687,685.3226663,71.88459546,
753,754.0,685.3984411,51.76069569,51.80460202,686.2457629,71.89036171,
754,755.0,686.3202779,51.74578317,51.7945826,687.1688597,71.89381357,
755,756.0,687.2421148,51.7402477,51.78343438,688.0919565,71.90338618,
756,757.0,688.1639518,51.75131722,51.78822093,689.0150535,71.87905626,
757,758.0,689.0857889,51.78382903,51.78132153,689.9381506,71.89559614,
758,759.0,690.0076261,51.79569917,51.76642411,690.8612478,71.88961222,
759,760.0,690.9294634,51.78392229,51.76644821,691.784345,71.8859108,
760,761.0,691.8513009,51.78796991,51.77749074,692.7074424,71.87977298,
761,762.0,692.7731384,51.77794182,51.76620052,693.6305399,71.90468163,
762,763.0,693.694976,51.79907514,51.7612787,694.5536375,71.89835951,
763,764.0,694.6168137,51.80002035,51.75908096,695.4767352,71.87279597,
764,765.0,695.5386516,51.79508613,51.77469122,696.399833,71.859678,
765,766.0,696.4604895,51.7886559,51.78360457,697.322931,71.86574202,
766,767.0,697.3823276,51.80912888,51.79773271,698.246029,71.84418691,
767,768.0,698.3041657,51.81226865,51.79406753,699.1691271,71.81923985,
768,769.0,699.226004,51.799612,51.79637213,700.0922253,71.79752817,
